candidate,sentiment,time_period,date,tweeter_type,count,primary_key
Biden,negative,Post-Caucus,2020-02-23,heavy,2,1
Biden,negative,Post-Caucus,2020-02-23,light,245,2
Biden,negative,Post-Caucus,2020-02-23,moderate,11,3
Biden,negative,Post-Caucus,2020-02-23,troll,2,4
Biden,negative,Post-Caucus,2020-02-24,heavy,3,5
Biden,negative,Post-Caucus,2020-02-24,light,80,6
Biden,negative,Post-Caucus,2020-02-24,moderate,5,7
Biden,negative,Post-Caucus,2020-02-25,light,1,8
Biden,negative,Post-Debate,2020-02-19,heavy,2,9
Biden,negative,Post-Debate,2020-02-19,light,22,10
Biden,negative,Post-Debate,2020-02-19,moderate,5,11
Biden,negative,Post-Debate,2020-02-20,heavy,6,12
Biden,negative,Post-Debate,2020-02-20,light,37,13
Biden,negative,Post-Debate,2020-02-20,moderate,9,14
Biden,negative,Post-Debate,2020-02-20,troll,1,15
Biden,negative,Post-Debate,2020-02-21,heavy,6,16
Biden,negative,Post-Debate,2020-02-21,light,53,17
Biden,negative,Post-Debate,2020-02-21,moderate,6,18
Biden,negative,Post-Debate,2020-02-22,heavy,5,19
Biden,negative,Post-Debate,2020-02-22,light,37,20
Biden,negative,Post-Debate,2020-02-22,moderate,2,21
Biden,negative,Pre-Debate,2020-02-10,light,18,22
Biden,negative,Pre-Debate,2020-02-11,heavy,1,23
Biden,negative,Pre-Debate,2020-02-11,light,11,24
Biden,negative,Pre-Debate,2020-02-12,heavy,1,25
Biden,negative,Pre-Debate,2020-02-12,light,47,26
Biden,negative,Pre-Debate,2020-02-12,moderate,3,27
Biden,negative,Pre-Debate,2020-02-13,heavy,2,28
Biden,negative,Pre-Debate,2020-02-13,light,33,29
Biden,negative,Pre-Debate,2020-02-13,moderate,6,30
Biden,negative,Pre-Debate,2020-02-14,heavy,1,31
Biden,negative,Pre-Debate,2020-02-14,light,36,32
Biden,negative,Pre-Debate,2020-02-14,moderate,4,33
Biden,negative,Pre-Debate,2020-02-15,heavy,2,34
Biden,negative,Pre-Debate,2020-02-15,light,25,35
Biden,negative,Pre-Debate,2020-02-15,moderate,3,36
Biden,negative,Pre-Debate,2020-02-16,heavy,12,37
Biden,negative,Pre-Debate,2020-02-16,light,45,38
Biden,negative,Pre-Debate,2020-02-16,moderate,23,39
Biden,negative,Pre-Debate,2020-02-17,heavy,3,40
Biden,negative,Pre-Debate,2020-02-17,light,44,41
Biden,negative,Pre-Debate,2020-02-17,moderate,17,42
Biden,negative,Pre-Debate,2020-02-17,troll,1,43
Biden,negative,Pre-Debate,2020-02-18,bot,1,44
Biden,negative,Pre-Debate,2020-02-18,heavy,7,45
Biden,negative,Pre-Debate,2020-02-18,light,170,46
Biden,negative,Pre-Debate,2020-02-18,moderate,11,47
Biden,negative,Pre-Debate,2020-02-19,heavy,4,48
Biden,negative,Pre-Debate,2020-02-19,light,34,49
Biden,negative,Pre-Debate,2020-02-19,moderate,3,50
Biden,negative,Pre-Debate,2020-02-19,troll,2,51
Biden,positive,Post-Caucus,2020-02-23,heavy,11,52
Biden,positive,Post-Caucus,2020-02-23,light,400,53
Biden,positive,Post-Caucus,2020-02-23,moderate,28,54
Biden,positive,Post-Caucus,2020-02-24,heavy,5,55
Biden,positive,Post-Caucus,2020-02-24,light,203,56
Biden,positive,Post-Caucus,2020-02-24,moderate,24,57
Biden,positive,Post-Caucus,2020-02-25,light,8,58
Biden,positive,Post-Debate,2020-02-19,heavy,11,59
Biden,positive,Post-Debate,2020-02-19,light,13,60
Biden,positive,Post-Debate,2020-02-19,moderate,6,61
Biden,positive,Post-Debate,2020-02-19,troll,1,62
Biden,positive,Post-Debate,2020-02-20,heavy,9,63
Biden,positive,Post-Debate,2020-02-20,light,57,64
Biden,positive,Post-Debate,2020-02-20,moderate,18,65
